name,type,row_count,error
mcp_usage_log,table,16,
provider_zones,table,16,
r2_bucket_daily,table,16,
role_capabilities,table,16,
time_projects,table,16,
agentsam_workspace_state,table,15,
courses,table,15,
email_routing,table,15,
user_integrations,table,15,
v_mcp_tools,view,15,
worker_to_do,table,15,
cms_3d_assets,table,14,
iam_system_health,table,14,
integration_catalog,table,14,
oauth_states,table,14,
agentsam_guardrails,table,13,
ai_project_context_config,table,13,
mcp_entitlements,table,13,
stripe_products,table,13,
agentsam_bootstrap,table,12,
client_contacts,table,12,
cms_tenants,table,12,
column_defs,table,12,
governance_capabilities,table,12,
infrastructure_documentation,table,12,
items,table,12,
project_goals,table,12,
project_links,table,12,
task_velocity,table,12,
tenant_branding,table,12,
workspace_projects,table,12,
agentsam_agent_run,table,11,
design_brief_runs,table,11,
founder_metrics,table,11,
model_performance_scores,table,11,
oauth_authorization_codes,table,11,
r2_intended_paths,table,11,
security_findings,table,11,
worker_analytics_daily,table,11,
workspace_connectivity_status,table,11,
agentsam_command_pattern,table,10,
agentsam_ignore_pattern,table,10,
agentsam_webhooks,table,10,
ai_routing_rules,table,10,
context_index,table,10,
custom_commands,table,10,
lesson_assets,table,10,
mcp_service_credentials,table,10,
project_capability_constraints,table,10,
project_metrics,table,10,
user_backup_codes,table,10,
user_governance_roles,table,10,
agentsam_prompt_cache_keys,table,9,
agentsam_workflow_triggers,table,9,
client_accounts,table,9,
client_projects,table,9,
github_repositories,table,9,
human_context,table,9,
launch_tracker,table,9,
mcp_prompts,table,9,
quality_gate_sets,table,9,
superadmin_identity,table,9,
vectorize_index_registry,table,9,
vendor_mappings,table,9,
webhook_endpoints,table,9,
work_items,table,9,
account_colors,table,8,
activation_checks,table,8,
agentsam_user_policy,table,8,
ai_projects,table,8,
ai_search_analytics,table,8,
client_apps,table,8,
client_revenue,table,8,
eval_results,table,8,
help_categories,table,8,
onboarding_steps,table,8,
professional_emails,table,8,
project_issues,table,8,
scout_badge_definitions,table,8,
super_admin_allowlist,table,8,
superadmin_accounts,table,8,
team_members,table,8,
teams,table,8,
user_oauth_tokens,table,8,
agentsam_execution_dependency_graph,table,7,
agentsam_tool_pricing,table,7,
backfill_jobs,table,7,
course_exports,table,7,
meet_rooms,table,7,
project_permissions,table,7,
schema_versions,table,7,
sprint_snapshots,table,7,
v_mcp_tool_execution,view,7,
agentsam_health_daily,table,6,
api_gateway_routes,table,6,
cms_folders,table,6,
deployments_weekly_rollup,table,6,
integration_health_checks,table,6,
invoices,table,6,
plans,table,6,
prompts,table,6,
provider_prompt_fragments,table,6,
terminal_connections,table,6,
user_settings,table,6,
agentsam_code_battle_observations,table,5,
channels,table,5,
cms_collections,table,5,
cms_global_settings,table,5,
content_types,table,5,
email_templates,table,5,
enrollments,table,5,
events,table,5,
financial_health,table,5,
kanban_boards,table,5,
mail_logs,table,5,
provider_circuit_breaker,table,5,
quiz_questions,table,5,
test_suite_runs,table,5,
updates,table,5,
user_goals,table,5,
workspace_notes,table,5,
admin,table,4,
agentsam_guardrail_events,table,4,
ai_approvals,table,4,
auth_user_identities,table,4,
billing_summary,table,4,
cms_content,table,4,
cms_theme_preferences,table,4,
ecosystem_knowledge_base,table,4,
mcp_workflow_runs,table,4,
oauth_clients,table,4,
oauth_providers,table,4,
org_users,table,4,
pipeline_kv,table,4,
secret_audit_log,table,4,
usage_events,table,4,
weekly_wins,table,4,
agentsam_context_digest,table,3,
agentsam_mcp_oauth_external_client_registry,table,3,
agentsam_mcp_oauth_user_client_allowlist,table,3,
agentsam_mcp_servers,table,3,
agentsam_model_drift_signals,table,3,
agentsam_task_slos,table,3,
ai_model_policies,table,3,
billing_coupons,table,3,
boards,table,3,
cms_navigation_menus,table,3,
cms_video_projects,table,3,
content_categories,table,3,
course_roles,table,3,
course_users,table,3,
decision_queue,table,3,
execution_dependency_graph,table,3,
funder_intelligence,table,3,
grant_opportunities,table,3,
grant_pipeline,table,3,
infrastructure_metadata,table,3,
integrations,table,3,
meet_participants,table,3,
project_quality_summary,view,3,
provider_accounts,table,3,
r2_objects_fts_data,table,3,
ui_copy_packs,table,3,
user_api_keys,table,3,
user_secrets,table,3,
user_storage_access_keys,table,3,
agentsam_cad_jobs,table,2,
agentsam_guardrail_rulesets,table,2,
agentsam_skill_revision,table,2,
billing_accounts,table,2,
governance_roles,table,2,
media_mentions,table,2,
meet_scheduled,table,2,
notification_outbox,table,2,
orgs,table,2,
pipelines,table,2,
quizzes,table,2,
sidebar_preferences,table,2,
telemetry_traces,table,2,
user_connections,table,2,
active_timers,table,1,
agentsam_artifact_skills,table,1,
agentsam_code_index_job,table,1,
ai_interactions,table,1,
client_intake_profiles,table,1,
client_integrations,table,1,
cms_activity_log,table,1,
cms_liquid_imports,table,1,
cms_liquid_sections,table,1,
course_grades,table,1,
course_submissions,table,1,
finance_budgets,table,1,
finance_transactions,table,1,
goals,table,1,
iam_agent_sam_config,table,1,
iam_agent_sam_prompts,table,1,
image_generation_jobs,table,1,
integration_webhook_config,table,1,
mcp_server_allowlist,table,1,
meet_messages,table,1,
project_inquiries,table,1,
r2_objects_fts_config,table,1,
r2_objects_fts_idx,table,1,
scene_snapshots,table,1,
stripe_customers,table,1,
stripe_transactions,table,1,
user_intake_profiles,table,1,
vectorize_sync_log,table,1,
worker_services,table,1,
workspace_domains,table,1,
agentsam_model_tier,table,0,
agentsam_spawn_job,table,0,
agentsam_spawn_session,table,0,
agentsam_user_feature_override,table,0,
agentsam_webhook_weekly,table,0,
ai_compiled_context_cache,table,0,
ai_context_versions,table,0,
ai_usage_log,table,0,
asset_relationships,table,0,
billing_customers,table,0,
billing_subscriptions,table,0,
brainstorm_idea_tracking,table,0,
brand_assets,table,0,
certificates,table,0,
change_sets,table,0,
cicd_benchmark_steps,table,0,
cicd_events,table,0,
cicd_github_runs,table,0,
cicd_run_steps,view,0,
cicd_runs,table,0,
cms_collection_assets,table,0,
cms_conversion_jobs,table,0,
cms_conversions,table,0,
cms_live_edit_sessions,table,0,
cms_live_rollbacks,table,0,
cms_override_versions,table,0,
cms_page_drafts,table,0,
cms_page_overrides,table,0,
cms_section_components,table,0,
command_execution_queue,table,0,
command_executions,table,0,
configuration_audit_trail,table,0,
connected_integrations,table,0,
contact_submissions,table,0,
content_item_categories,table,0,
content_item_tags,table,0,
content_items,table,0,
content_revisions,table,0,
content_tags,table,0,
course_reviews,table,0,
credit_transactions,table,0,
csv_import_log,table,0,
csv_imports,table,0,
cursor_executions,table,0,
decision_patterns,table,0,
decisions,table,0,
deployment_changes,table,0,
design_brief_findings,table,0,
design_decisions,table,0,
designstudio_design_blueprints,table,0,
email_attachments,table,0,
email_events,table,0,
email_labels,table,0,
email_threads,table,0,
email_verification_tokens,table,0,
event_queue,table,0,
execution_performance_metrics,table,0,
external_apps,table,0,
external_connections,table,0,
features,table,0,
fundraising_tasks_v1,table,0,
game_credits,table,0,
game_moves,table,0,
game_rooms,table,0,
games,table,0,
goal_checkins,table,0,
gorilla_xp,table,0,
grant_kb_chunks_v1,table,0,
grant_templates_v1,table,0,
hook_executions,table,0,
iam_user_onboarding_step,table,0,
image_generation_variants,table,0,
image_metadata,table,0,
images,table,0,
impact_metrics,table,0,
integration_audit_log,table,0,
integration_connections,table,0,
integration_resources,table,0,
intent_pattern_daily_summary,table,0,
